,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
2005-01-01 17:00:00,15.087,146.691,158.279,620.0,8.319,155.01,158.279,4.206,61.173,21.572,96.119,130.164,20.89,17.916,53.661,25.998,28.004,185.827,66.779,78.618,2052.592
2005-01-01 18:00:00,16.015,148.287,160.001,633.0,8.162,156.448,160.001,4.336,68.46,22.687,101.384,136.048,22.21,19.122,56.136,27.392,28.841,196.455,70.82,81.866,2117.671
2005-01-01 19:00:00,15.369,143.097,154.401,649.0,7.154,150.25,154.401,4.384,68.46,22.784,100.158,134.368,21.697,18.844,54.891,26.935,28.312,193.819,69.052,79.922,2097.298
2005-01-01 20:00:00,14.871,143.42,154.751,637.0,6.892,150.312,154.751,4.191,67.515,22.642,97.741,131.993,21.206,18.49,53.622,26.53,27.757,187.131,66.164,78.112,2065.0910000000003
2005-01-01 21:00:00,14.035,138.557,149.504,586.0,6.478,145.035,149.504,4.036,67.137,22.068,94.54,127.371,20.09,17.928,52.195,25.514,26.983,178.281,62.688,75.665,1963.609
2005-01-01 22:00:00,12.815,134.549,145.178,518.0,5.654,140.203,145.178,3.781,67.746,21.17,89.468,120.639,20.619,18.892,54.873,25.965,26.773,176.524,63.66,75.552,1867.239
2005-01-01 23:00:00,11.351,126.056,136.015,470.0,5.037,131.093,136.015,3.523,74.151,19.882,82.318,111.119,18.762,17.255,50.891,24.231,24.584,162.294,57.61,69.613,1731.8000000000002
2005-01-02 00:00:00,10.301,119.551,128.996,403.0,4.618,124.169,128.996,3.267,81.438,18.845,76.591,102.54,17.052,15.973,47.75,23.118,22.711,151.643,52.029,65.296,1597.884
2005-01-02 01:00:00,9.683,118.147,127.481,388.0,4.401,122.548,127.481,3.139,81.459,18.349,74.163,98.4,16.205,15.31,45.358,22.852,21.964,145.715,48.493,62.833,1551.981
2005-01-02 02:00:00,9.618,118.248,127.589,370.0,4.49,122.738,127.589,3.097,81.144,18.201,74.007,97.569,15.883,15.469,44.779,22.732,21.774,144.614,47.27,61.961,1528.7720000000002
2005-01-02 03:00:00,9.851,119.074,128.482,366.0,4.552,123.626,128.482,3.061,80.808,18.287,75.591,98.813,15.899,15.867,45.22,23.244,21.903,145.92,47.463,61.87,1534.013
2005-01-02 04:00:00,10.423,122.128,131.777,393.0,4.613,126.741,131.777,3.184,69.111,18.538,77.522,101.423,16.018,16.323,46.825,24.219,22.663,150.1,48.518,62.82,1577.7229999999995
2005-01-02 05:00:00,11.068,125.914,135.862,397.0,4.851,130.765,135.862,3.29,68.859,19.356,81.69,105.909,15.092,15.355,43.677,24.049,22.946,150.0,46.524,61.078,1599.147
2005-01-02 06:00:00,12.397,132.649,143.128,427.0,5.333,137.982,143.128,3.5,69.132,20.502,87.413,114.38,16.18,16.607,47.597,26.199,24.958,163.44,51.282,65.334,1708.1410000000003
2005-01-02 07:00:00,14.643,143.327,154.65,498.0,6.38,149.707,154.65,3.851,69.111,22.234,95.735,124.962,18.098,19.143,52.098,29.536,27.326,184.13,59.57,72.213,1899.364
2005-01-02 08:00:00,17.195,157.322,169.75,603.0,7.477,164.798,169.75,4.443,69.342,23.808,106.027,141.359,20.677,22.109,58.595,33.587,29.837,210.695,71.1,80.756,2161.627
2005-01-02 09:00:00,17.751,167.072,180.272,654.0,8.247,175.319,180.272,4.373,69.363,24.308,110.134,148.159,21.813,21.788,60.153,34.602,30.734,226.023,76.326,83.556,2294.2650000000003
2005-01-02 10:00:00,16.779,167.214,180.424,609.0,8.066,175.279,180.424,4.166,69.573,23.356,109.016,145.335,20.783,19.5,56.348,33.465,29.717,227.347,74.999,81.256,2232.047
2005-01-02 11:00:00,15.962,166.004,179.119,567.0,8.056,174.06,179.119,4.166,69.594,22.145,105.463,141.63,19.7,17.309,52.969,31.335,27.837,222.458,71.952,78.803,2154.681
2005-01-02 12:00:00,15.675,166.279,179.415,566.0,7.993,174.272,179.415,4.102,67.137,21.78,103.211,139.563,19.203,16.434,51.371,30.15,27.057,219.955,70.21,79.191,2138.413
2005-01-02 13:00:00,14.809,164.358,177.342,541.0,7.911,172.269,177.342,3.924,64.47,21.488,100.872,135.988,18.631,15.732,49.191,29.581,26.621,214.963,66.771,77.287,2080.55
2005-01-02 14:00:00,14.721,158.642,171.176,517.0,7.672,166.314,171.176,3.876,64.26,21.091,98.653,133.356,18.0,14.951,47.68,27.838,25.298,206.267,64.351,74.901,2007.223
2005-01-02 15:00:00,14.331,159.785,172.408,496.0,7.499,167.283,172.408,3.927,64.407,20.898,97.631,132.721,17.533,14.613,46.98,26.823,25.017,201.011,63.368,74.661,1979.304
2005-01-02 16:00:00,14.798,168.302,181.598,504.0,7.97,176.271,181.598,3.997,63.987,21.695,100.723,138.457,18.302,15.587,48.748,28.434,26.121,210.363,66.644,77.673,2055.268
2005-01-02 17:00:00,17.073,180.487,194.745,581.0,9.767,190.253,194.745,4.485,64.344,24.296,112.378,156.221,20.829,18.961,56.413,32.242,29.959,237.819,78.0,87.486,2291.503
2005-01-02 18:00:00,18.083,180.758,195.038,629.0,10.86,191.618,195.038,4.659,64.638,25.833,116.397,161.056,21.88,20.683,59.78,33.548,31.415,246.367,83.393,90.211,2380.255
2005-01-02 19:00:00,17.924,179.241,193.401,594.0,10.693,189.933,193.401,4.573,66.318,25.382,114.953,159.836,21.601,20.791,60.39,33.392,31.394,245.459,83.034,88.799,2334.515
2005-01-02 20:00:00,17.263,177.036,191.022,574.0,10.152,187.188,191.022,4.457,69.3,24.83,110.094,152.135,20.755,20.28,58.851,32.46,31.038,236.264,80.639,86.305,2275.091
2005-01-02 21:00:00,16.027,169.856,183.276,530.0,8.933,178.79,183.276,4.186,69.615,23.699,101.657,140.773,19.488,19.105,55.6,30.217,29.658,220.799,75.124,81.854,2141.9329999999995
2005-01-02 22:00:00,14.477,157.064,169.472,486.0,7.664,164.728,169.472,3.721,70.203,21.73,91.038,125.81,19.103,19.07,57.671,28.953,28.939,210.029,74.203,79.261,1998.608
2005-01-02 23:00:00,12.77,146.212,157.764,408.0,6.683,152.895,157.764,3.375,81.564,20.108,82.116,111.55,17.018,16.833,53.239,26.101,26.882,189.674,66.951,71.037,1808.536
2005-01-03 00:00:00,11.61,141.176,152.329,361.0,6.095,147.271,152.329,3.156,81.627,18.702,76.026,102.5,15.475,15.588,50.394,24.558,26.11,179.287,62.528,65.959,1693.72
2005-01-03 01:00:00,11.404,138.046,148.951,362.0,5.875,143.92,148.951,3.073,81.48,18.152,73.465,97.864,14.685,15.272,49.438,24.298,26.008,174.616,61.052,63.536,1662.086
2005-01-03 02:00:00,11.375,135.939,146.678,343.0,5.776,141.714,146.678,3.074,81.774,18.349,72.691,96.849,14.383,15.381,51.454,24.344,25.578,172.125,61.145,63.124,1631.4309999999998
2005-01-03 03:00:00,11.878,138.024,148.928,345.0,6.001,144.025,148.928,3.096,81.69,18.348,74.812,97.172,14.482,15.773,52.59,24.563,25.566,172.555,62.473,63.814,1649.718
2005-01-03 04:00:00,12.796,143.539,154.879,363.0,6.577,150.116,154.879,3.291,81.207,19.712,76.326,99.083,15.229,17.1,55.283,25.176,27.139,180.762,65.85,66.712,1718.6559999999995
2005-01-03 05:00:00,14.997,154.911,167.149,414.0,7.61,162.521,167.149,3.578,81.081,22.717,84.317,109.514,15.7,17.813,53.622,25.75,29.921,193.056,70.104,70.651,1866.1610000000005
2005-01-03 06:00:00,17.699,174.169,187.929,463.0,9.245,183.414,187.929,3.985,81.249,26.606,102.618,132.368,19.244,21.281,63.84,29.963,34.48,228.674,85.001,84.986,2137.68
2005-01-03 07:00:00,17.906,185.967,200.659,535.0,9.2,195.167,200.659,4.056,81.585,28.619,109.619,133.327,20.729,20.665,67.167,30.369,33.697,230.48,84.182,90.26,2279.313
2005-01-03 08:00:00,16.41,181.426,195.759,507.0,8.294,189.72,195.759,3.738,81.417,26.998,103.602,122.192,19.674,18.546,63.537,28.29,31.457,213.669,75.794,85.708,2168.99
2005-01-03 09:00:00,15.457,176.861,190.833,492.0,7.614,184.474,190.833,3.599,82.278,25.707,98.577,117.107,19.363,16.914,59.638,25.815,29.584,198.081,70.628,82.74,2088.103
2005-01-03 10:00:00,14.615,173.173,186.855,479.0,6.732,179.905,186.855,3.468,75.915,25.186,94.271,110.901,18.677,15.645,55.399,23.273,28.101,182.045,64.444,80.046,2004.506
2005-01-03 11:00:00,12.959,171.226,184.754,452.0,6.347,177.574,184.754,3.516,69.027,24.865,89.647,104.642,18.067,14.591,52.472,21.38,26.866,169.169,59.296,79.455,1922.607
2005-01-03 12:00:00,11.637,167.122,180.324,450.0,6.039,173.16,180.324,3.384,69.195,24.365,84.059,99.54,17.566,13.637,49.233,19.876,25.866,159.227,54.778,77.309,1866.641
2005-01-03 13:00:00,10.939,169.265,182.638,433.0,5.596,174.861,182.638,3.207,63.987,23.581,82.445,94.814,16.78,12.987,48.347,19.014,24.932,154.171,52.643,75.624,1831.469
2005-01-03 14:00:00,10.77,163.08,175.963,435.0,5.434,168.513,175.963,3.243,63.903,23.209,80.829,92.197,15.988,12.519,47.662,17.796,24.854,150.769,51.114,74.897,1793.703
2005-01-03 15:00:00,10.474,164.214,177.187,420.0,5.465,169.679,177.187,3.276,64.071,23.454,81.8,92.436,15.832,12.684,47.297,17.914,24.309,150.494,50.213,75.092,1783.078
2005-01-03 16:00:00,11.565,169.844,183.263,472.0,6.469,176.313,183.263,3.5,64.659,24.497,85.989,102.487,16.744,13.818,48.177,19.239,25.601,160.535,55.12,79.352,1902.4350000000004
2005-01-03 17:00:00,14.248,183.901,198.429,550.0,8.105,192.006,198.429,3.821,64.701,27.763,101.671,128.116,19.48,17.851,55.736,24.464,29.472,189.306,69.404,90.011,2166.914
2005-01-03 18:00:00,15.692,185.016,199.633,587.0,8.845,193.861,199.633,3.949,64.365,29.079,108.61,138.661,20.824,20.234,59.877,26.789,31.769,208.07,78.382,93.937,2274.226
2005-01-03 19:00:00,15.935,184.356,198.92,577.0,8.946,193.302,198.92,3.986,64.281,28.997,107.982,138.683,20.719,20.325,60.282,26.361,31.887,207.824,78.441,92.09,2259.237
2005-01-03 20:00:00,14.818,176.806,190.775,518.0,8.355,185.162,190.775,3.753,63.882,28.269,104.231,133.446,19.855,19.626,57.931,25.13,31.088,198.434,74.665,88.116,2133.117
2005-01-03 21:00:00,13.598,165.044,178.083,525.0,7.21,172.254,178.083,3.45,64.197,26.442,96.473,121.177,18.224,17.988,54.804,23.008,29.388,179.455,67.782,81.39,2023.05
2005-01-03 22:00:00,12.019,154.61,166.825,465.0,5.853,160.463,166.825,3.026,63.903,24.392,85.472,106.102,18.014,17.28,56.124,21.162,27.652,162.976,64.594,77.867,1860.159
2005-01-03 23:00:00,10.017,138.874,149.846,431.0,4.868,143.743,149.846,2.647,63.882,21.669,75.2,90.772,15.61,14.565,50.27,18.204,24.694,138.64,54.024,69.159,1667.5299999999995
2005-01-04 00:00:00,8.878,132.352,142.809,354.0,4.136,136.488,142.809,2.423,63.924,19.549,67.63,79.802,13.978,13.039,46.313,16.194,22.348,122.522,48.084,63.23,1500.508
2005-01-04 01:00:00,8.313,126.642,136.646,332.0,3.925,130.566,136.646,2.312,63.735,18.515,64.169,74.534,13.04,12.179,44.799,15.306,21.265,114.991,45.092,60.882,1425.557
2005-01-04 02:00:00,8.234,124.907,134.774,326.0,3.832,128.739,134.774,2.264,63.987,17.996,63.127,72.226,12.823,11.95,43.976,14.977,20.484,112.477,44.624,59.537,1401.708
2005-01-04 03:00:00,8.214,123.661,133.431,341.0,3.887,127.548,133.431,2.304,63.861,17.84,62.935,72.219,12.809,12.088,43.495,15.144,20.366,113.951,45.133,59.599,1412.9160000000002
2005-01-04 04:00:00,8.879,129.277,139.491,346.0,4.462,133.739,139.491,2.559,67.767,18.523,64.637,74.217,13.215,12.868,45.049,15.885,21.234,122.564,47.697,62.272,1469.826
2005-01-04 05:00:00,10.63,140.322,151.407,378.0,5.33,145.651,151.407,2.926,69.174,21.619,72.296,84.448,13.641,13.841,45.753,17.074,23.782,136.654,52.51,65.605,1602.0700000000002
2005-01-04 06:00:00,13.271,163.995,176.951,456.0,6.93,170.925,176.951,3.321,69.363,25.135,89.927,108.557,16.889,17.274,55.514,21.477,28.906,173.086,66.858,79.887,1921.217
2005-01-04 07:00:00,13.97,175.739,189.622,508.0,7.007,182.746,189.622,3.393,69.699,27.421,97.571,113.308,18.503,17.131,58.194,23.061,28.834,179.715,67.755,85.517,2056.808
2005-01-04 08:00:00,12.064,168.097,181.376,490.0,6.18,174.277,181.376,3.132,69.216,26.012,91.8,101.979,17.159,15.194,54.352,21.475,27.099,167.644,60.673,80.632,1949.737
2005-01-04 09:00:00,11.509,166.543,179.701,450.0,5.99,172.533,179.701,3.099,66.108,25.223,88.85,98.064,16.995,14.097,52.25,20.501,25.893,163.204,57.455,79.003,1876.719
2005-01-04 10:00:00,10.992,166.05,179.168,430.0,5.659,171.709,179.168,3.049,82.761,24.823,86.234,95.64,16.788,13.363,49.939,19.609,25.905,158.564,54.676,78.008,1852.105
2005-01-04 11:00:00,10.514,165.169,178.218,425.0,5.371,170.54,178.218,3.089,82.908,24.429,83.474,93.182,16.327,12.765,49.8,18.664,25.438,153.356,52.316,76.776,1825.5540000000003
2005-01-04 12:00:00,10.295,163.643,176.571,406.0,5.235,168.878,176.571,3.02,82.866,24.003,80.578,90.948,16.045,12.335,47.931,17.756,25.252,148.625,51.567,76.155,1784.274
2005-01-04 13:00:00,9.759,164.977,178.011,412.0,5.09,170.068,178.011,3.01,34.944,23.308,80.898,89.375,15.788,12.011,47.172,17.436,25.054,148.274,50.909,74.9,1740.9950000000003
2005-01-04 14:00:00,9.575,163.378,176.285,413.0,4.938,168.316,176.285,2.983,26.103,22.954,80.146,89.081,15.304,11.651,46.866,17.111,24.772,145.372,49.909,73.885,1717.914
2005-01-04 15:00:00,9.914,160.159,172.811,410.0,5.155,165.314,172.811,3.132,25.662,23.046,80.997,92.54,15.119,11.932,46.85,17.433,25.014,146.643,49.737,73.69,1707.959
2005-01-04 16:00:00,11.119,168.381,181.683,463.0,5.873,174.254,181.683,3.538,25.935,24.148,87.03,106.835,16.172,12.807,48.48,18.818,25.691,155.637,53.915,76.592,1841.591
2005-01-04 17:00:00,13.346,181.7,196.055,525.0,7.634,189.334,196.055,3.99,26.376,27.079,102.303,132.752,18.605,16.577,54.527,23.532,28.873,184.651,66.085,87.285,2081.759
2005-01-04 18:00:00,14.887,186.525,201.261,557.0,8.478,195.003,201.261,4.145,25.641,28.595,109.494,142.532,19.924,18.712,58.22,25.814,30.79,202.124,73.647,91.65,2195.703
2005-01-04 19:00:00,14.928,184.091,198.634,554.0,8.612,192.703,198.634,4.079,25.326,28.593,109.531,143.333,19.804,18.946,57.556,25.716,30.685,203.169,73.873,90.481,2182.6939999999995
2005-01-04 20:00:00,14.301,177.425,191.442,534.0,8.113,185.538,191.442,3.933,25.368,28.044,106.255,138.983,19.036,18.022,55.349,24.739,29.515,193.978,70.466,87.171,2103.12
2005-01-04 21:00:00,13.076,168.684,182.011,515.0,7.212,175.896,182.011,3.488,27.153,26.984,99.134,129.146,17.609,16.339,52.143,22.756,28.331,176.487,62.949,80.922,1987.331
2005-01-04 22:00:00,11.207,155.24,167.505,449.0,5.98,161.221,167.505,3.131,61.299,25.032,89.378,115.169,17.251,15.431,52.175,21.874,26.451,161.559,59.583,77.594,1843.585
2005-01-04 23:00:00,9.196,140.612,151.72,409.0,4.911,145.523,151.72,2.813,80.829,22.672,79.16,100.404,14.791,12.814,46.742,19.415,23.773,138.138,49.686,68.671,1672.5899999999997
2005-01-05 00:00:00,8.141,135.641,146.357,361.0,4.319,139.96,146.357,2.585,81.249,21.074,72.565,90.942,13.227,11.268,42.516,17.82,21.782,124.568,43.87,63.465,1548.706
2005-01-05 01:00:00,7.709,134.128,144.725,341.0,4.131,138.26,144.725,2.502,82.005,19.999,70.064,86.094,12.593,10.658,41.592,17.517,20.694,120.422,41.498,61.035,1501.351
2005-01-05 02:00:00,7.554,132.348,142.803,325.0,4.156,136.504,142.803,2.55,83.181,19.597,69.265,85.225,12.334,10.507,41.244,17.591,20.559,119.534,41.216,60.072,1474.0429999999997
2005-01-05 03:00:00,7.787,134.836,145.488,330.0,4.338,139.173,145.488,2.656,83.475,19.059,70.277,86.024,12.353,10.88,41.304,18.136,20.613,122.948,42.207,60.241,1497.283
2005-01-05 04:00:00,8.428,138.261,149.184,343.0,4.881,143.142,149.184,2.956,82.971,19.687,73.035,89.638,12.923,12.177,42.833,19.549,21.701,133.216,45.46,63.193,1555.419
2005-01-05 05:00:00,10.21,152.963,165.048,383.0,5.95,158.914,165.048,3.252,83.685,21.649,81.409,101.213,13.632,13.497,44.107,21.05,24.621,150.467,51.31,67.642,1718.667
2005-01-05 06:00:00,13.282,174.244,188.01,473.0,7.609,181.853,188.01,3.692,84.105,25.248,100.392,127.582,17.315,17.19,56.379,26.095,29.317,189.272,66.978,83.025,2052.598
2005-01-05 07:00:00,14.247,187.134,201.918,482.0,7.692,194.826,201.918,3.752,84.903,27.492,109.475,133.437,19.07,17.189,59.617,27.937,29.618,198.902,68.932,88.765,2158.824
2005-01-05 08:00:00,12.852,181.468,195.804,453.0,7.133,188.601,195.804,3.485,82.782,25.787,104.331,122.504,17.711,15.376,55.901,26.654,27.9,188.173,61.837,83.404,2050.507
2005-01-05 09:00:00,11.902,183.203,197.676,445.0,7.099,190.301,197.676,3.508,80.388,25.38,102.933,120.931,17.183,14.271,53.843,26.29,27.261,187.428,58.774,81.799,2032.846
2005-01-05 10:00:00,11.209,183.906,198.434,446.0,7.061,190.966,198.434,3.507,81.018,25.054,102.316,121.131,16.84,13.238,50.73,26.078,26.514,186.646,56.164,81.64,2026.886
2005-01-05 11:00:00,10.9,186.733,201.486,427.0,7.059,193.792,201.486,3.547,79.989,24.86,101.795,120.436,16.271,12.756,48.514,25.594,26.024,187.229,54.829,81.048,2011.348
2005-01-05 12:00:00,10.125,182.74,197.177,420.0,7.116,189.856,197.177,3.558,66.339,25.016,98.895,120.681,16.139,12.459,48.927,25.279,25.211,183.931,52.722,80.314,1963.662
2005-01-05 13:00:00,9.985,183.598,198.102,412.0,6.864,190.462,198.102,3.481,67.158,24.906,100.369,120.724,16.042,11.921,48.944,24.997,24.377,184.933,51.619,79.94,1958.524
2005-01-05 14:00:00,9.681,184.085,198.628,392.0,6.862,190.947,198.628,3.608,82.131,24.867,101.689,121.329,15.775,11.589,45.087,25.105,24.322,184.932,50.961,80.153,1952.379
2005-01-05 15:00:00,10.116,183.413,197.902,422.0,7.355,190.768,197.902,3.753,82.593,25.706,104.154,126.129,15.689,11.906,43.9,26.167,24.591,192.851,51.683,81.782,2000.36
2005-01-05 16:00:00,11.271,192.128,207.307,464.0,8.357,200.485,207.307,4.118,83.706,27.671,112.5,140.842,16.517,13.029,45.639,28.26,25.952,209.385,56.708,88.049,2143.231
2005-01-05 17:00:00,13.752,206.781,223.118,530.0,9.9,216.682,223.118,4.431,38.157,30.886,123.663,161.19,18.982,17.114,52.181,32.703,29.445,234.322,70.107,97.363,2333.8949999999995
2005-01-05 18:00:00,15.052,204.577,220.739,541.0,10.127,214.704,220.739,4.631,24.78,31.81,128.228,168.448,20.326,19.285,56.79,34.006,31.353,245.445,76.834,99.851,2368.725
2005-01-05 19:00:00,15.056,201.231,217.128,552.0,9.971,211.202,217.128,4.578,24.78,31.464,126.76,167.564,19.875,19.374,56.745,33.309,31.485,242.731,75.626,97.23,2355.237
2005-01-05 20:00:00,14.434,198.254,213.916,543.0,9.385,207.639,213.916,4.302,26.313,30.685,122.669,161.205,19.285,19.031,54.887,31.97,30.917,232.771,71.863,93.97,2300.412
2005-01-05 21:00:00,13.447,186.566,201.305,487.0,8.581,195.147,201.305,4.027,73.185,29.069,114.366,149.916,17.876,17.95,52.465,29.891,30.137,216.62,66.523,88.736,2184.112
2005-01-05 22:00:00,11.518,173.777,187.506,460.0,7.396,181.173,187.506,3.575,81.774,26.467,102.776,134.405,17.348,17.48,52.968,28.812,28.881,203.858,63.794,85.743,2056.757
2005-01-05 23:00:00,9.77,161.6,174.367,378.0,6.494,168.094,174.367,3.264,82.278,23.404,91.797,117.805,14.98,14.991,47.863,25.775,26.055,181.532,55.125,77.596,1835.157
2005-01-06 00:00:00,8.717,152.642,164.7,353.0,5.977,158.619,164.7,3.064,82.215,21.653,84.088,105.926,13.541,13.509,44.676,24.021,24.395,167.7,49.8,72.767,1715.7099999999998
2005-01-06 01:00:00,8.47,152.018,164.027,328.0,5.771,157.788,164.027,2.979,82.383,20.821,81.343,100.589,12.982,13.027,43.424,23.279,23.634,162.214,48.308,70.302,1665.386
2005-01-06 02:00:00,8.453,148.849,160.608,327.0,5.769,154.618,160.608,2.973,82.299,20.465,80.053,98.608,12.928,13.016,43.199,23.369,23.331,159.374,47.787,69.18,1642.487
2005-01-06 03:00:00,8.735,151.367,163.326,336.0,5.85,157.217,163.326,3.045,82.194,20.375,80.0,97.866,13.158,13.387,43.676,23.631,23.482,162.186,48.733,70.145,1667.6989999999998
2005-01-06 04:00:00,9.39,156.222,168.564,361.0,6.453,162.675,168.564,3.312,82.131,21.185,82.072,100.068,13.911,14.401,46.093,24.58,24.781,172.826,52.192,73.773,1744.193
2005-01-06 05:00:00,11.401,168.803,182.139,388.0,7.533,176.336,182.139,3.683,80.262,23.865,90.054,110.509,14.538,15.262,46.985,25.595,27.506,185.991,57.64,77.266,1875.507
2005-01-06 06:00:00,14.57,187.418,202.225,461.0,9.036,196.454,202.225,4.084,76.923,26.993,106.483,132.33,18.294,18.511,56.955,30.243,32.645,222.703,73.922,92.34,2165.3540000000003
2005-01-06 07:00:00,15.292,202.292,218.274,502.0,8.973,211.265,218.274,4.227,76.272,28.889,114.961,139.301,19.864,18.027,61.041,31.919,32.297,228.994,75.281,97.473,2304.916
2005-01-06 08:00:00,13.857,197.147,212.722,485.0,8.198,205.345,212.722,3.917,75.621,28.355,110.384,128.775,18.793,15.964,56.899,29.786,29.553,215.413,67.036,92.16,2207.647
2005-01-06 09:00:00,13.224,193.691,208.994,459.0,8.125,201.817,208.994,3.851,42.651,26.939,105.883,122.761,18.265,14.858,54.09,28.565,28.575,211.947,63.804,89.696,2105.73
2005-01-06 10:00:00,12.7,196.314,211.824,467.0,8.023,204.337,211.824,3.931,26.061,25.854,103.328,119.767,17.852,13.724,52.201,27.606,27.975,206.159,61.123,87.346,2084.949
2005-01-06 11:00:00,12.469,191.794,206.947,476.0,7.806,199.6,206.947,3.871,25.62,25.518,99.66,116.137,17.69,13.058,50.29,25.625,26.508,199.193,57.532,86.594,2048.859
2005-01-06 12:00:00,12.117,189.843,204.842,495.0,7.916,197.759,204.842,3.746,30.576,24.743,94.331,111.506,17.498,12.692,48.566,23.845,25.898,193.421,54.294,85.086,2038.521
2005-01-06 13:00:00,11.346,189.798,204.792,442.0,7.639,197.437,204.792,3.613,54.831,23.929,93.946,107.465,17.124,12.145,48.478,23.532,25.466,192.744,52.901,83.102,1997.08
2005-01-06 14:00:00,11.063,185.12,199.745,446.0,7.532,192.652,199.745,3.523,66.255,23.704,93.008,107.186,16.754,11.875,47.874,24.004,25.299,188.675,53.464,81.246,1984.724
2005-01-06 15:00:00,11.53,184.726,199.319,430.0,7.514,192.24,199.319,3.479,74.55,24.103,95.151,109.255,16.724,12.033,49.333,24.834,25.786,188.593,55.538,81.273,1985.3
2005-01-06 16:00:00,12.816,188.264,203.137,464.0,8.477,196.741,203.137,3.777,81.858,25.76,100.129,119.371,17.743,13.648,50.345,25.702,27.061,197.786,60.194,84.865,2084.811
2005-01-06 17:00:00,14.664,201.781,217.723,539.0,9.678,211.46,217.723,4.235,82.215,28.275,110.909,137.703,19.837,17.068,56.593,28.868,29.416,218.472,69.783,94.026,2309.429
2005-01-06 18:00:00,15.94,199.196,214.933,532.0,10.277,209.473,214.933,4.391,81.438,28.672,114.641,144.348,20.723,18.411,58.381,30.02,30.831,229.689,75.508,97.538,2331.343
2005-01-06 19:00:00,15.765,198.356,214.026,538.0,10.195,208.551,214.026,4.364,80.892,28.322,113.586,142.888,20.607,18.393,57.922,29.184,30.976,227.266,74.94,96.109,2324.368
